data,close,rsi_force,rsi_oversold,rsi_overbought,rsi_above50,rsi_cross50,macd_force,macd_signal_force,macd_hist,macd_hist_dir,macd_cross,price_sma50_force,price_sma200_force,sma_trend_force,ema_short_force,golden_death_cross,ema_cross,bb_position,bb_vol_force,bb_above_upper,bb_below_lower,obv_trend_force,obv_cross,vol_force,vol_high,label
2022-01-04,29.2,0.11963,0.0,0.0,1.0,0.0,0.002189,0.002682,-0.000246,1.0,0.0,0.01811,0.039828,0.021734,0.001238,0.0,0.0,0.270586,-0.345691,0.0,0.0,-0.001441,0.0,-0.038331,0.0,1
2022-01-05,28.07,-0.103239,0.0,0.0,0.0,-1.0,0.001024,0.00235,-0.000663,-1.0,0.0,-0.001842,0.019743,0.021584,-0.000225,0.0,-1.0,-0.797136,-0.308543,0.0,0.0,-0.001743,0.0,0.162889,0.0,1
2022-01-06,28.05,-0.106629,0.0,0.0,0.0,0.0,6.8e-05,0.001894,-0.000913,-1.0,0.0,-0.002507,0.018941,0.021447,-0.001324,0.0,0.0,-0.725649,-0.286157,0.0,0.0,-0.002791,0.0,0.056801,0.0,1
2022-01-07,28.18,-0.078104,0.0,0.0,0.0,0.0,-0.000504,0.001414,-0.000959,-1.0,0.0,0.00011,0.020866,0.020756,-0.001858,0.0,0.0,-0.54659,-0.277916,0.0,0.0,-0.002912,0.0,-0.058443,0.0,1
2022-01-10,28.01,-0.110397,0.0,0.0,0.0,0.0,-0.001186,0.000894,-0.00104,-1.0,0.0,-0.002649,0.017426,0.020075,-0.002527,0.0,0.0,-0.631782,-0.264591,0.0,0.0,-0.003486,0.0,-0.161606,0.0,1
2022-01-11,28.84,0.062307,0.0,0.0,1.0,1.0,-0.000543,0.000607,-0.000575,1.0,0.0,0.011898,0.031461,0.01957,-0.001428,0.0,0.0,0.167214,-0.297617,0.0,0.0,-0.002872,0.0,0.156936,0.0,1
2022-01-12,29.72,0.203717,0.0,0.0,1.0,0.0,0.001191,0.000724,0.000234,1.0,1.0,0.026651,0.045831,0.019203,0.001002,0.0,1.0,0.973597,-0.276288,0.0,0.0,-0.001255,0.0,0.189526,0.0,1
2022-01-13,30.32,0.283101,0.0,0.0,1.0,0.0,0.003347,0.001248,0.001049,1.0,0.0,0.035512,0.055145,0.019671,0.003798,0.0,0.0,1.0,-0.192261,1.0,0.0,0.001033,1.0,0.152277,0.0,1
2022-01-14,31.45,0.403676,0.0,1.0,1.0,0.0,0.0065,0.002299,0.002101,1.0,0.0,0.052554,0.072633,0.020156,0.007705,0.0,0.0,1.0,-0.04537,1.0,0.0,0.004049,0.0,0.244886,0.0,1
2022-01-17,31.5,0.408418,0.0,1.0,1.0,0.0,0.008911,0.003621,0.002645,1.0,0.0,0.051711,0.072722,0.021091,0.010398,0.0,0.0,1.0,0.037888,1.0,0.0,0.006752,0.0,-0.233944,0.0,0
